paper_id,decision,criteria,reason
290,include,I1,"Adapts an agent-loop architecture and adds a post-search holdout evaluation, changing how the search run is validated and closed."
291,include,I1,"Contributes a three-layer agent loop with a self-assessing do-until mechanism and explicit stopping criteria."
292,include,I1,"Blueprint generation uses a designed planner-evaluator agent loop for iterative refinement, with validation and targeted repair."
293,include,I1,"Iterative agentic loop in which the LLM analyzes classifier failures and synthesizes targeted examples; the closed-loop cycle is the method."
294,include,I1,"Characterizes the Agent Loop as a single-ready-unit scheduler and proposes SGH, lifting control flow into an explicit DAG with escalation-based recovery."
295,include,I1,"Introduces a Perceive-Plan-Act-Reflect agentic loop with a dynamic routing layer separating intent classification, planning and tool execution."
296,exclude,E5,"Systematization-of-knowledge paper that categorizes existing attack and defense research into a unified runtime taxonomy."
298,exclude,E3,"Uses a ReAct-based agentic loop as-is to drive a 6-DOF arm; contributions are edge deployment, ArUco homography and a digital twin."
299,include,I2,"Measures whether token-optimized formats hold inside end-to-end agentic loops, reporting cascading multi-turn parsing failures and collapsed parallel tool-call output."
300,include,I1,"The agent operates under an agentic loop with automated validation and error correction across the protocol lifecycle."
301,include,I1,"Models agentic drift and collapse in open-ended agentic loops and proposes a discrete reset interlock and an epistemic speed limit."
302,include,I1,"Contributes two agent-loop mechanisms: TODO List Memory rewritten every step and Second Chance Backtrack rolling back to the pre-error state."
303,include,I2,"Empirical study of how agent harnesses and tool-result presentation change agentic search accuracy across Chronos and provider CLIs."
304,include,I1,"Adds a runtime controller that mediates actions around the agent loop, with ablations on recovery confidence and policy weighting."
305,include,I1,"Harness keeps persistent state across revisions and makes submission an explicit agent action; compares complete harnesses under matched backends."
306,exclude,E1,"The Marketing Agent Loop is a conceptual organizational cycle of sensing, generating, interacting and learning, not an agent runtime control structure."
307,include,I1,"A deterministic symbolic validator enforces structural constraints within the agent loop, eliminating hallucinated requirement combinations."
308,include,I1,"Architecture places a typed governance pipeline for LLM-directed tools and bounded execution around the agent loop."
309,include,I1,"Describes an agentic retrieval loop in which a tool-using model issues searches and answers only from what it retrieves, with lessons from deployment."
310,exclude,E5,"Comparative review of prominent agentic frameworks including CrewAI, LangGraph, AutoGen, Agno and n8n."
311,include,I2,"Tests whether agents recognize performance plateaus and terminate, finding an autonomous sunk-cost fallacy that traps 13 LLMs in unproductive loops."
312,include,I1,"Introduces Constraint-Grounded Self-Verification, an agentic loop whose gain is tested against self-refinement and equal-compute re-prompting controls."
313,include,I2,"Extended-horizon iteration limits test whether agents detect stagnation and terminate before system-forced intervention."
314,exclude,E5,"Survey presenting a unified taxonomy of efficiency techniques across four stages of the agent loop."
315,include,I1,"Couples an LLM planner with a time-series model that simulates proposed interventions before actuation and rejects unsafe actions in the loop."
317,include,I1,"Reflective multi-agent loop of Actor, Critic, Distiller and Refiner iteratively refines explanations via sliding-window rule extraction."
319,include,I1,"Iterative multi-agent evaluation loop with two evaluator agents; reports convergence iterations and ethical violation reduction."
320,exclude,E5,"Surveys perception, memory, planning, tool-use and coordination components and reviews agentic benchmark results."
321,include,I1,"Proposes the Manage-Execute-Audit loop that keeps task state outside execution and updates it only with independently verified facts."
322,exclude,E5,"Survey of harness component taxonomy, evaluation logic and model-harness coevolution."
323,exclude,E5,"Literature survey of agentic AI foundations, the agent loop, memory systems and five orchestration frameworks."
324,include,I1,"Proposes a Self-Regulation Loop and a Co-Regulation Design Agentic Loop and compares both against a plain Ralph Wiggum Loop baseline."
325,include,I1,"Search agent with retrieve, browse and read tools; controlled ablations vary BM25 tuning and retrieval depth inside the agentic loop."
326,include,I2,"Benchmarks prompt-based interaction against autonomous agent loops and finds loops executing without escalation triggers or validation layers."
327,include,I1,"Manages sessions, memory, skills, tools and the agent loop natively on device, with explicit per-action execution boundaries."
328,include,I1,"Replaces the iterative vericoding method with an agentic loop and two agent-directed tree-search orchestrators, scaling with agent budget."
329,exclude,E2,"Contribution is a synthesis and supervised fine-tuning pipeline; the live agentic loop serves only as the evaluation harness."
330,include,I1,"Compares generic against domain-specific tool abstractions inside a T-API-compliant ReAct loop, reporting correctness and token savings."
331,include,I1,"Closed-loop orchestrator plans subgoals, verifies outcomes and recovers from failures; quantifies the orchestration gap versus frozen skills alone."
332,exclude,E2,"Contribution is OSCD, a post-training cross-distillation algorithm; the translator agentic loop only supports training rollouts."
333,include,I1,"Replaces single-agent experience loops with an Execute-Distill-Verify topology that gates memory writes by consensus."
334,include,I2,"Characterizes safety drift and livelocking repetitive tool calls in multi-turn agent loops and proposes an action-aware supervision layer."
335,include,I1,"Autonomous agentic loop feeds tracebacks back for self-correction; ablations separate ICL references, oracle grounding and self-debugging."
336,exclude,E3,"Agentic program search is only the discovery means; all claims and metrics concern nDCG gains of frozen embedding models."
337,include,I1,"Formalizes the agent loop as a POMDP with a persistent belief state and a programmatic exhaustion gate that halts unproductive search."
