paper_id,decision,criteria,reason
2285,include,I1,"LLM extraction pipeline with self-verification, automatic output repair and confidence-based escalation; ablations confirm the necessity of each component."
2286,include,I1,"Title claims a self-verifying multimodal LLM agent and the abstract is empty, so whether the loop is the object cannot be settled here."
2289,include,I1,"Unifies answer generation and verification so the model assesses its own solutions and scales at inference by verifying its generations."
2291,include,I1,"Multi-agent debate over four rounds; the contribution is how debate topology and model diversity change reasoning outcomes."
2293,include,I1,"Quantifies agentic competencies in trajectories including backtracking and exploration, task decomposition and self-verification."
2294,exclude,E2,"Benchmark of 202 VHDL problems scored under zero-shot generation, in-context learning and PEFT fine-tuning; self-verifying testbenches are hardware, no loop."
2295,include,I1,"Shows RLLMs iteratively reinforce errors through flawed reflective reasoning and reports chain disloyalty, a resistance of the chain to correction."
2296,exclude,E5,"Overview of the current research landscape and future directions for LLMs in biomedicine and health; secondary, no method."
2300,include,I1,"Presents a framework for self-verifying reflection and proves improvement is guaranteed when verification errors are bounded."
2301,exclude,E2,"Reinforcement-learning training that rewards evidence-grounded reasoning paths; generation stays one pass and retrieval is not re-entered on a failed check."
2305,include,I1,"Specialised auditing agents feed a closed-loop correction mechanism that iteratively improves the response before final delivery."
2306,include,I1,"LDB segments programs into basic blocks and refines generated code against runtime values block by block, an iterative debug-repair cycle."
2308,exclude,E2,"Fine-tunes Llama 2, Code Llama and Mistral on unit-consistency programs; verification lives inside the emitted program, no control returns at inference."
2309,exclude,E2,"Co-design study of four radiology vision-language use concepts assessed by 13 clinicians; single-pass drafting and querying, no loop."
2312,include,I1,"Finds most recheck steps are confirmatory rather than corrective and adds a suppression signal that skips unnecessary self-verification."
2313,include,I1,"DSVD adds parallel self-verification during decoding plus a dynamic rollback mechanism for targeted error recovery."
2315,include,I1,"Replays 23-turn agent dialogues and reports prompt-level self-verification fails because the self-check reads the same manipulated tool data."
2316,include,I1,"CoVe drafts a response, plans and independently answers verification questions, then regenerates a verified response."
2317,include,I1,"Reports emergent self-verification, longer self-checking responses on low-confidence queries, and a rethinking method for test-time scaling."
2321,include,I1,"Inserts a verification layer of four agents between reasoning and execution whose trust score approves, re-verifies or escalates the decision."
2324,include,I1,"Training-free paradigm performing reflection-memory-guided self-verification followed by a single guided regeneration instead of iterative correction."
2325,include,I1,"Consistency-based self-verification supplies the reward signal for tool-augmented agents; verification cost and training stability are the object."
2326,exclude,E2,"Self-verification only filters self-generated training data; the resulting model requires only a single inference call at test time."
2327,include,I1,"Compares a basic prompt against a self-verification prompt across four models and tests the significance of the self-verification effect on PPV."
2329,include,I1,"Journal version comparing basic prompting with a self-verification prompt and reporting a significant prompt-type effect on PPV."
2332,exclude,E5,"Comprehensive survey of LLM-as-a-judge offering a formal definition, classification and research agenda; secondary study."
2333,include,I1,"CLOSER performs action reasoning, reliability verification, verification-triggered retrieval and action correction in a closed loop before execution."
2334,include,I1,"Pipeline re-examines each cited frame before display and ablates three verification designs, reporting catch rates per verifier."
2336,exclude,E2,"States the method requires no fine-tuning, input preprocessing or iterative output generation; one screening pass, control never returns."
2340,include,I1,"Separates planner, executor and verifier into isolated agents to remove the confirmation bias of one substrate generating, evaluating and correcting."
2342,exclude,E5,"Comprehensive overview of techniques, benchmarks and findings on reasoning in LLMs; a survey."
2343,include,I1,"Multi-turn RL where a verdict plus confidence decides whether to keep the answer or keep refining, with adaptive stopping at inference."
2345,include,I1,"Title proposes a taxonomy of failure modes in autonomous agentic systems and the abstract is empty, so the loop question goes to full text."
2346,exclude,E5,"Systematic review filtering 111 papers from over 27000 studies on LLM code generation for low-resource and domain-specific languages."
2347,include,I1,"Modeling agents generate and refine candidate MiniZinc models on feedback from validation agents that synthesize semantic checkers."
2349,include,I1,"Proposes an agentic code-test evolution framework with iterative test generation and error-driven refinement, highlighting self-verification via tests."
2352,include,I1,"Planner encodes passing criteria as subtask verification functions that drive iterative refinement across multi-agent handoffs."
2354,include,I1,"Taxonomises completion fabrication in coding agents and argues from nine months of runs that LLM self-verification cannot be trusted."
2356,include,I1,"Verification agent builds a verification workflow whose tool outputs drive candidate-answer adjudication, answer revision and workflow revision."
2358,exclude,E1,"The open loop studied is the learning-deployment pipeline of generative models and iterated language evolution, not an agent runtime control loop."
2359,include,I1,"Ablates the commitment mechanism of a long-horizon agent and reports goal-abandonment flipping from 0.00 to 1.00 while binding error stays flat."
2361,include,I1,"Adds triage-policy self-verification and selective escalation, reporting the triage-policy error proxy falling from 53.8% to 42.3%."
2362,exclude,E3,"Generates reviews of propane dehydrogenation catalysts from 343 articles; quality control is scaffolding and the results reported are domain results."
2363,exclude,E5,"Comprehensive review summarising applications of LLMs in robot control, perception, decision-making and planning."
2364,include,I1,"A forecaster agent output is refined by a refiner agent informed by past outputs and retrieved analogs, an adaptive test-time refinement loop."
