paper_id,decision,criteria,reason
6186,exclude,E2,"LLM-guided graph search only compacts the PDDL problem before a symbolic planner runs; no runtime control returns, and claims are plan quality vs LLM/hybrid baselines."
6187,exclude,E7,"Hierarchical multi-robot architecture with event-triggered replanning, but reported claims are task success rates (9/10, 8/8) and benchmark correctness scores."
6188,exclude,E7,"M2EX orchestrates modality experts in a query plan; claims are exploration accuracy, latency, API cost and planning efficiency versus other systems."
6189,include,I2,"Action Chains as planning primitive: iteration policy studied directly, comparing lookahead vs full re-planning and measuring token consumption and planning time, not just success."
6192,exclude,E7,"Contribution is STL as a shared language-to-control representation; evidence is a tabletop demonstration of plan precision and reliability, not of the monitoring/replanning mechanism."
6193,exclude,E7,"Dynamic decomposition and re-planning framework evaluated only by end-to-end success (+13.7pp) and navigation steps on WebChore-Arena; claim is about the agent, not the re-planner."
6194,include,I2,"Verification: temporal-logic and discrete-event checking of LLM task allocations gates execution, and the case study reports what the verifier catches before tasks run."
6195,exclude,E7,"Closed-loop planner-evaluator-replanner for tabletop manipulation, but the only reported evidence is a ~20% average task success-rate gain over baselines."
6196,include,I2,"Retry/repair: error-matrix classification of ten failure types with recoverability plus causal-context retrieval, argued explicitly against relying on overall success rates."
6197,exclude,E1,"The loop studied is an RL controller's MDP with LLM-derived potential-based reward shaping; the claim is a policy-invariance proof on a small MDP, not an LM agent loop."
6198,exclude,E7,"Falsifiable commitment plan-test-repair loop is the contribution but the only evidence is 13.8% relative WebArena success over baselines; nothing measured about the tester or repair."
6199,exclude,E7,"Routed agentic workflow layering an LLM over an SMT planner; evidence is counts of correctly handled queries and planning cases across 23 test cases."
6200,include,I2,"Iteration policy: skill DAG with node-level verification and locality-bounded repair, compared against ReAct/Reflexion/ExpeL orchestration and probed for over-retrieval robustness."
6201,exclude,E7,"NEXUS grounds risk into hard constraints, but reported claims are SafeAgentBench success rates, refusal rates and adversarial robustness, all task outcomes."
6202,exclude,E7,"Deep-web search agent architecture (query analysis, navigation, fusion); evaluation is retrieval accuracy, efficiency and output coherence."
6203,exclude,E5,"PRISMA 2020 systematic review of 38 studies on specification, verification and enforcement, contributing a taxonomy and research agenda."
6204,include,I2,"Retry/repair: the skill-decomposition and self-reflection cycle that reflects on failures and synthesizes new solutions is the contribution, compared against non-reflective baselines."
6205,exclude,E7,"Tree-structured DFS with tool routing is a soccer video QA pipeline; all reported claims are accuracy on SoccerBench and NExT-QA."
6206,exclude,E7,"Platform, benchmark and Agent4Drone framework judged by task pass rate and check pass rates against a ReAct baseline; no loop property is measured."
6207,include,I2,"Loop state: Meta-Skill retained across runs to steer MAS orchestration, set against inference-time and training-time alternatives, with robustness and transferability analysed."
6208,exclude,E7,"Containerized lightweight LLM stack for human-in-the-loop multi-robot work; evidence is unspecified 'significant improvements' and reduced configuration complexity."
6211,exclude,E7,"Humanoid loco-manipulation framework with predicate supervision; experiments report task robustness on tabletop and long-horizon tasks, not the verifier or replanner as such."
6214,exclude,E4,"Planning-data generation benchmark with verification checklists for evaluating and RL-training LLMs; measures model planning ability, not any loop property."
