paper_id,decision,criteria,reason
10808,exclude,E7,"Abstract empty; title offers an end-to-end deployment framework turning AI projects into agents, a system contribution with no loop mechanism named."
10810,exclude,E4,"Abstract empty; title is a training-plus-benchmark record for Android agents and names no loop property such as termination, retries or stuck loops."
10811,exclude,E7,"Abstract empty; title contributes a zero-shot agent architecture replacing modular dialogue systems, a system claim with no loop mechanism named."
10823,exclude,E2,"Abstract empty; title's debate-reflect-distill feeds tree-structured preference optimization for model enhancement, i.e. training, not a runtime loop."
10834,exclude,E7,"Abstract empty; title applies an authored agentic workflow to zero-shot molecular optimization, a domain outcome claim rather than a loop-mechanism claim."
10838,exclude,E7,"Abstract empty; title's multi-agentic reflection serves synthetic data generation for harmful content detection, so the claim is about detection data."
10848,include,I2,"Abstract empty; title contributes enforcement of company-policy adherence on agentic workflow steps: verification, checking a step against policy before the run proceeds."
10852,exclude,E2,"Abstract empty; title's inference-free self-refinement improves preference alignment, i.e. a training-time alignment method with no runtime iteration."
10855,include,I1,"Abstract empty; title studies cost-performance trade-offs of self-refinement itself across open-source models, evidence about the iteration policy of the refine cycle."
10858,include,I2,"Abstract empty; title contributes a probabilistic inference-scaling theory of LLM self-correction, an explicit argument about the retry/repair mechanism."
10863,exclude,E7,"Abstract empty; title's iterative navigation refines embeddings for a text-video retrieval-rerank pipeline, so the claim is retrieval quality, not loop control."
10864,exclude,E7,"Abstract empty; title's iterative step-level process refinement is an agent learning method whose claims are agent task performance, not the loop mechanism."
10873,exclude,E7,"Abstract empty; title contributes verbal contrastive learning for safer autonomous agents, a system-plus-safety-outcome claim with no loop mechanism named."
10878,exclude,E2,"Abstract empty; title trains a critique model from multi-agent feedback, a fine-tuning contribution whose artifact is a model, not a runtime control loop."
10879,exclude,E2,"Abstract empty; title aligns dialogue agents via multimodal reward decomposition from global feedback, a reward-modelling/alignment method, not runtime iteration."
10897,exclude,E7,"Abstract empty; title's self-correcting agentic system targets end-to-end planning in autonomous driving, so the reported claim is a driving-task outcome."
10913,include,I2,"Abstract empty; title automates agentic workflow generation via self-adaptive abstraction operators, making the workflow arrangement itself the studied object: control topology."
10919,exclude,E7,"Abstract empty; title's self-refined multimodal CoT with selective thinking targets reasoning quality in MLLMs, a task-quality claim rather than loop control."
10935,exclude,E4,"Abstract empty; title is a benchmark evaluating safety of agents in mobile device control, measuring safety outcomes rather than any loop property."
10941,exclude,E7,"Abstract empty; title is an authored agent framework for real-estate marketing video generation, a domain application claim with no loop mechanism named."
10942,exclude,E4,"Abstract empty; title describes an advanced course on AI integration and deployment, an educational record rather than a research contribution."
10943,exclude,E1,"Abstract empty; 2021 title concerns agents that learn to plan and operate in dynamic environments, a planning/ML agent loop with no language-model policy."
10944,exclude,E1,"Abstract empty; 2020 title concerns open-world learning for radically autonomous agents, a learning-agent loop predating and excluding language-model policies."
10947,exclude,E1,"Abstract empty; 2018 title engineers pro-sociality with autonomous agents, a social/multi-agent behaviour loop with no language-model policy."
10956,exclude,E4,"Abstract empty; title is a multi-turn benchmark for role-playing evaluation, measuring dialogue role fidelity rather than a loop property."
10959,exclude,E7,"Abstract empty; title's decomposition-and-self-correction tool ports cross-file patches, so the reported claim is porting success on a software task."
10960,exclude,E3,"Abstract empty; title wires autonomous agents to simulate visual impairments in web interfaces, an accessibility application using the loop as-is."
10961,exclude,E7,"Abstract empty; title asks whether autonomous agents can do software engineering yet, an end-task capability assessment rather than a loop-mechanism claim."
