paper_id,decision,criteria,reason
401,exclude,E7,"Step-wise LLM routing framework; reported claims are operating-cost reduction and task accuracy on HumanEval Plus/MBPP/MATH-500/ASQA, not evidence about the routing mechanism itself."
415,exclude,E7,"Hierarchical supervisor/worker delivery-disruption system; claims are LLM-as-judge scores on 30 domain scenarios, nothing about the orchestration mechanism."
418,exclude,E7,"Post-hoc causal attribution of which agent step caused a failure; diagnostic tooling validated on synthetic SCMs, it governs no loop mechanism."
419,exclude,E5,Multi-dimensional taxonomy of autonomous LLM multi-agent architectures with an exploratory classification of existing systems; taxonomy-only secondary study.
426,include,"I1,I2","Holds tools, orchestrator and model fixed and varies only subtask-to-worker assignment across five configurations under preregistered criteria; control topology is the studied variable."
433,exclude,E5,"Catalogue of ten architectural patterns plus a reference architecture synthesised from 8 existing skill-mediated systems; secondary pattern overview, no loop-mechanism claim."
434,exclude,E7,"Theoretical cognitive architecture and the MindOS agent-building engine; no evidence or explicit argument about any loop-control mechanism, only architecture description."
437,exclude,E7,"Multi-agent ASIC design system with its own benchmark; claims are automation success across hardware design tasks, task outcomes only."
441,include,"I1,I2","Controlled framework-level study isolating architecture: reports orchestration overhead, planning accuracy and coordination success below 30%; coordination topology is the studied variable."
449,exclude,E7,"Multi-agent sensor-fusion driving pipeline; claims are superior performance on autonomous driving datasets, domain metrics only."
455,exclude,E7,"MAPE data flywheel around a deployed RAG assistant; claims are routing and rephrasal accuracy and latency after fine-tuning, deployment outcomes not loop control."
477,exclude,E7,"Author-critic mathematical agent; claims are how many FirstProof and open problems referees judged correct, task outcomes only."
480,exclude,E7,"Skill create/refine/select training framework; headline claims are ALFWorld and WebShop success rates (+8.8%, +9.3%), task outcomes rather than the loop mechanism."
483,exclude,E7,"Active tool-discovery framework; claims are tool-selection accuracy over 3k candidates and 98% token reduction on APIBank, retrieval efficiency rather than loop control."
497,exclude,E3,"Off-the-shelf GPT-4 tool agent pointed at 15 one-day CVEs; claims are exploit success rates (87% with the CVE description), domain outcomes only."
498,include,"I1,I2","Dual-Evolution evolves the query and retrieved sub-graph across reasoning steps and ablations isolate the MACER components, so the retrieval iteration policy is the studied mechanism."
508,exclude,E4,Technical white paper specifying a three-layer agent communication protocol; no method and no evaluation.
522,include,"I1,I2","Measures disorder growth per interaction round (alpha) over 40,000 controlled trials and proposes an integrity gate on step execution; the claim is about loop continuation, not task outcomes."
523,include,"I1,I2",Compares single-agent refinement under a leaderboard reward against five parallel agents under the same reward (47.8-57.4% vs 62.8-69.4%); the loop arrangement is the studied variable.
530,exclude,E1,"Blockchain black box plus LLM-generated explanations for ROS mobile robots; the loop is robot navigation, not a language-model agent's control loop."
532,exclude,E7,"Fast and slow LLM agent loops optimising recommender models; evidence is successful production launches and model performance at YouTube, task outcomes."
553,exclude,E7,"Agentic control plane for micro-frontend and microservice rollout; claims are adaptation latency, error rate and manual-intervention reductions versus DevOps baselines."
