paper_id,decision,criteria,reason
3097,exclude,E7,"ECHO co-evolves a critic with the policy during RL; reported claims are training stability and long-horizon task success, not evidence about a runtime loop-control mechanism."
3100,exclude,E2,"InternLM2 pretraining, SFT and COOL RLHF technical report; no runtime agent loop, evaluation is benchmark scores across 30 benchmarks."
3106,exclude,E5,"Survey article categorising existing research on symbolic knowledge distillation in LLMs; secondary study, retained as a snowballing seed."
3157,include,"I1,I2",EVU estimate-verify-update mechanism; abstract reports a probing analysis quantifying belief inertia and analyses validating its mitigation. Mechanism: verification driving belief-state update.
3161,exclude,E7,"CentaurTA is a human-in-the-loop thematic-analysis system; reported claims are coding alignment and transparency on qualitative datasets, i.e. task outcomes."
3187,include,"I1,I2","CR-Planner's contribution is critic-guided iterative sub-goal selection with MCTS-trained critics, compared against CoT and RAG planning baselines. Mechanism: iteration policy plus verification."
3283,exclude,E4,"Workshop proceedings front matter for NeLaMKRR 2024; a call and scope statement, no method or research contribution."
3307,exclude,E7,"PhysNote's knowledge-note repository and iterative loop are reported only via PhysBench accuracy (56.68%, +4.96% over the best baseline); no claim about the loop itself."
3355,exclude,E7,"Neuro-symbolic SLM agent with two tool calls, evaluated by CLUTRR accuracy plus error analysis; iterative verification is named as a future roadmap, not the studied mechanism."
3369,exclude,E2,"Empirical study of how post-training data (SFT then RL) shapes chess reasoning; training-time analysis, no runtime agent loop."
3412,exclude,E3,Five off-the-shelf LLMs applied as calibration agents for a hydrological model and benchmarked against SCE-UA and NSGA-III on parameter accuracy; domain application of an unmodified loop.
3420,exclude,E7,"Shared-task fact-checking system built on the Graph-of-Thoughts scheme; reported claims are AVeriTeC verdict performance, with no evidence about its stopping criterion."
3534,exclude,E1,JARVIS is an active-learning screening workflow over a neural classifier with human reviewer decisions; the iteration is not an autonomous LLM agent's control loop.
3547,exclude,E2,"Penelope localises recurrent latent computation to a decoder interval; internal architecture for one-shot answer generation, no agent loop."
3593,exclude,E7,"GTPO is a turn-level RL training algorithm for tool-integrated agents; reported claims are benchmark accuracy gains over GRPO, not evidence about the runtime loop."
3598,exclude,E2,"Adaptive confidence decoding and block-size allocation inside a block diffusion LM; the iteration is denoising and decoding, no agent loop."
3617,exclude,E2,"Candidates are generated once then aggregated by knockout or league comparisons; parallel sampling and voting, control never returns to generation."
3632,exclude,E2,"Contribution is a modified training loss aligned to pass@N; pass@N searches N independent samples, so there is no iterative control."
3673,include,"I1,I2",Negative early exit prunes unproductive MCTS trajectories and adaptive boosting reallocates the reclaimed compute; p99 latency and throughput measured at maintained accuracy. Mechanism: termination.
