paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
5353,multi_agent_coordination,model,philosophical_paper,none,not_specified,preprint,"Perspective whose contribution is a conceptual framework of three interaction regimes, team composition and communication protocols for agent societies; it argues and structures the field, offering no evaluation."
5357,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is one-shot generation of the communication topology and interaction modes of a multi-agent system; evidence is author-run experiments reporting token and accuracy gains over state-of-the-art methods.
5368,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"Contribution is deterministic EMA-guided routing that picks which agents answer and merges them; evidence is accuracy and cost comparisons on discrete-choice benchmarks against single-model and ensemble baselines, all in-lab."
5383,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is continuous reallocation of subtasks across agents in an activity-on-vertex workflow graph; evidence is author-run empirical comparisons on practical tasks, not use in a real setting."
5409,self_evolution,method,validation_research,benchmark,fully_autonomous,conference,Contribution is a PSO-style outer loop that generates and iteratively refines the agent system itself from feedback; evidence is lab benchmark gains such as +261.8% over ADAS on TravelPlanner.
5420,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is RAPS, a publish-subscribe messaging substrate with reactive subscription and Bayesian reputation to isolate peers, i.e. the arrangement itself; evidence is lab experiments over five benchmarks."
5432,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is inference-time adaptation of the communication topology, agent roles, links and execution order; evidence is benchmark scores on five suites against single- and multi-agent baselines in the lab."
5445,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a response-conditioned DAG built from Shapley-style peer assessment that regulates message propagation, i.e. the interaction structure; evidence is lab experiments with strong and weak backends."
5449,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an evolutionary outer loop (feedback-conditioned mutation and crossover over configurations plus experience memory) that rewrites the agent system between runs; evidence is lab results on BBEH, SWE-Bench and WorkBench."
5454,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an agentic optimizer using interaction trajectories and task feedback as loss signals to evolve the MAS over long horizons; evidence is accuracy on four agentic benchmarks with three backbones, lab only."
5456,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is decentralized coordination: parallel agents claim subtasks from a queue and communicate through a shared verified context instead of a central controller; evidence is SWE-bench Verified and LongBench-v2 lab runs.
5462,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is structuring a multi-agent system under an explicit cost budget via ILP model selection and RL topology choice, claiming up to 86% cost reduction; evidence is lab comparison on three representative tasks."
5464,multi_agent_coordination,process,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution compares multi-agent structures (single agent, subagent, agent team) under fixed compute-time budgets and issues design guidelines; the comparison runs in a controlled testbed, not in production."
5465,multi_agent_coordination,model,solution_proposal,controlled_experiment,fully_autonomous,preprint,"Vision paper proposing NOMA, an optimization loop over pipeline topology, model and engine choices across agents, argued with one controlled experiment on a 10-agent pipeline rather than a full validation."
5475,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is transactional plan control: a versioned execution log with restore points and localized repair that edits only the affected region of the plan; evidence is job-shop benchmarks (DMU, TA) run in the lab."
5480,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is a graph-theoretic account of consensus in signed, directed agent interaction networks and topology restrictions that stabilize it; evidence is theorems plus lab ensembles of LLaMA-3, Mistral and Gemma agents."
5483,multi_agent_coordination,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is a trainable policy that predicts a sparse communication DAG switching a team between parallel and sequential modes; evidence is lab runs varying agent count, task and underlying agent."
5484,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution treats coordination configuration as a separable architectural layer, comparing five configurations with model, tools and prompt held fixed; evidence is a controlled 100-market study, the live deployment still accumulating."
5485,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an auction-based economy that decides which agent acts and how credit is assigned, i.e. decentralized coordination without a central orchestrator; evidence is lab results on five agentic tasks against monolithic baselines."
5487,multi_agent_coordination,model,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a per-agent communication hub that selects sparse partners and generates dense message transformations, i.e. the inter-agent channel itself; evidence is lab benchmark comparisons with dense-communication baselines."
5488,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is MASS, a staged search that rewrites agent prompts and then topologies from evaluation feedback; evidence is lab comparisons against a spectrum of existing multi-agent alternatives."
5489,verification_and_gating,process,solution_proposal,case_study,human_in_the_loop,preprint,"Contribution is a runtime uncertainty-management lifecycle (representation, identification, evolution, adaptation) governing whether the system may proceed; it is only demonstrated for feasibility on one clinical system."
5610,planning_and_control_flow,method,validation_research,case_study,fully_autonomous,preprint,"Contribution is an LLM orchestrator that incrementally plans and adapts a workflow encoded as a Datalog+/- program fixing which tool call runs next; evidence is author-run financial use cases, not deployed practice."
5631,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is targeted recovery after diagnosis, mapping observed failure signals to repair actions and comparing against retry-only and full replanning; evidence is a lab fault-injection study with a budget sweep."
5645,loop_evaluation_and_diagnosis,model,evaluation_research,case_study,not_specified,preprint,"Contribution is an instrument for studying loop failure: AgentFail, 307 real failure cases from two production orchestration platforms, with root-cause and repair-difficulty analysis of workflows running in practice."
