paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
4347,planning_and_control_flow,method,validation_research,benchmark,not_specified,preprint,"Contribution is an SOP represented as a decision graph that is traversed to fix the agent's next step; evidence is lab experiments across benchmark domains plus a new benchmark, with no deployment."
4356,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution swaps LLM calls for routing, shortlisting and gating with a cheap classifier to cut latency 95% and cost 85-91%, a cost-driven substitution of loop components; evidence is AppWorld runs in the lab."
4360,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Headline mechanism is an action-uncertainty-driven MCTS that shapes and prunes the search over candidate actions (adaptive planning-mode selection is runner-up); WebArena and WebVoyager runs are lab validation."
4572,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Contribution is CAMEL, a calibration applied at memory write and retrieval time to suppress miscorrelated retrieved evidence; evaluated on the authors' own benchmark in the lab, not in a real setting."
4573,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Oblivion's claim is a read/write memory control policy - when to consult memory, what to reinforce, decay-driven forgetting; evidence is static and dynamic long-horizon interaction benchmarks in the lab."
4580,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Contribution is a reduced-order utility state governing which memories are updated and retained, a memory credit-assignment policy (self_evolution runner-up); ALFWorld and LifelongAgentBench runs are lab validation."
4596,planning_and_control_flow,model,philosophical_paper,none,not_specified,preprint,"Framework governs proposal, validation, commit, rollback and replanning - what determines and orders the next transition; it offers no evaluation and instead structures the field with a failure taxonomy and research agenda."
4598,verification_and_gating,method,validation_research,benchmark,not_specified,preprint,"Mechanism is a write-time origin-bound authority check deciding whether a memory item may drive an action, not a memory representation; evidence is a cross-model lab benchmark plus machine-checked proofs."
4612,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,not_specified,preprint,"Headline artefact is PAST-Bench, an instrument isolating whether retained experience improves agents and whether gains follow the intended save/retrieve/update pathway; run over seven models and four frameworks in the lab."
4613,memory_and_context_management,model,philosophical_paper,illustrative_example,not_specified,preprint,"Contribution is a four-layer decomposition of what persists across sessions and with which update semantics; it re-structures cognitive architectures conceptually, with companion implementations only as feasibility demos."
4615,self_evolution,method,validation_research,benchmark,human_on_the_loop,preprint,"Contribution is an outer loop that distils each episode's outcome verdicts and after-the-fact corrections into rules so a frozen-weight agent improves across episodes; evidence is tau-bench banking runs in the lab."
4617,budget_and_termination_control,tool,evaluation_research,case_study,fully_autonomous,preprint,"With no fixed objective, the loop is governed by a budget-based metabolism that makes persistence normative; six agents ran about twelve weeks in the real open world, including self-earned income, and the dynamics are studied there."
4619,memory_and_context_management,method,validation_research,controlled_experiment,not_specified,preprint,"EDM's mechanism is selective consolidation: only trajectories passing reliability thresholds persist to long-term memory; evidence is a lab comparison against flat memory architectures over repeated cycles."
4624,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,not_specified,preprint,"Contribution is a measurement chain and trace-anchored protocol for detecting criterion revision, an instrument rather than a loop mechanism; the CMB-0.1 trials are lab calibration of that instrument."
4632,self_evolution,tool,validation_research,benchmark,not_specified,preprint,"The audited mechanism is skill evolution - distilling trajectories into reusable transferable skills between episodes - plus SafeEvolve to govern reuse; evidence is 25 agent-method configurations over frozen lab tasks."
4643,memory_and_context_management,model,solution_proposal,none,not_specified,preprint,"Contribution is an architecture for what persists across a lifetime of interaction and how it is encoded, tagged and retrieved; it is argued from cognitive theory with seven required properties and no evaluation."
4644,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"MemCon learns a policy for when, what and how much to retrieve, when to inject a plan and when to consolidate or forget; evidence is six benchmarks, three frameworks and three backbones in the lab."
4659,memory_and_context_management,model,solution_proposal,illustrative_example,not_specified,preprint,"Contribution is a three-state active/dormant/retired persistence framework with a hysteretic controller deciding what stays readable; it is proposed and argued, illustrated only by a finance scenario."
4660,multi_agent_coordination,process,solution_proposal,none,fully_autonomous,preprint,"Contribution is a protocol layer fixing what agents send each other and how each field is accepted, traced and remixed across sessions - the arrangement itself; it is specified and shipped, with no study of consequences."
4665,verification_and_gating,method,validation_research,benchmark,not_specified,preprint,"EquiMem judges whether each shared-memory update may be trusted via an equilibrium check at write time, a gate rather than a revision; evidence is lab benchmarks across MAD frameworks and memory backends."
4669,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,human_in_the_loop,preprint,"TANGLE is an instrument - 541 conflict instances scored on five dimensions - for measuring how agents behave under unresolvable memory conflict; models are evaluated on it in the lab, not in deployment."
4673,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,not_specified,preprint,"SEAGym is an evaluation environment with train, validation, replay and cost views for measuring harness updates; it is instantiated on Terminal-Bench 2.0 and HLE to compare three methods in the lab."
4684,verification_and_gating,tool,solution_proposal,none,human_on_the_loop,preprint,"Contribution is a fail-closed promotion gate: every learned prompt, memory, skill or tool stays an untrusted release candidate until held-out evidence and human authorisation permit it; the layer is proposed with no reported study."
4686,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,not_specified,preprint,"E-P-R is a trajectory-level diagnostic measuring where retrieved memory first changes an action, whether the error propagates and whether recovery occurs; instantiated on WebArena and MemTrapBench in the lab."
4687,memory_and_context_management,model,philosophical_paper,illustrative_example,not_specified,preprint,"The bottlenecks it claims are context governance and trustworthy memory - what state the harness carries across steps and how; the paper structures the harness as an object of design with a research agenda, not a study."
