paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
3163,verification_and_gating,method,validation_research,benchmark,human_in_the_loop,preprint,"HFM is a learned policy deciding when the agent must defer to a human expert rather than proceed unaided, i.e. an escalation gate; evidence is lab Minecraft task-success runs, not a deployed setting."
3165,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is intrinsic self-correction and whether structured reflection feedback helps; it does not, yielding the 'structure snowballing' account. Evidence is a lab comparison on Qwen3-8B with and without constrained decoding."
3166,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Tested mechanism is recursive refinement: self-criticism, adversarial stress-testing and integrating critical feedback. A designed simple-vs-structured pipeline comparison over nine cases in the lab, no deployment."
3187,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"CR-Planner iteratively selects and executes sub-goals under critic-model rewards, so the contribution is what the loop does next; validated on competitive programming, math and retrieval benchmarks in the lab."
3292,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"CMRF's claim is Adaptive Iterative Refinement: step-by-step inferences are self-corrected via a coherence module across rounds. Lab benchmark results on VCR, A-OKVQA and DailyLife-MRC, no real deployment."
3297,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"IoT's Inner Dialogue Agent generates critiques as prompts that the LLM agent uses to rewrite its answer each round, i.e. revise-on-feedback; validated on GPQA, Game of 24, Crosswords and HotpotQA in the lab."
3318,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Ablations credit iterative verification by the verifier agent, checking constraints and blocking error propagation, over the multi-agent framing; evidence is accuracy on the authors' PRIME-Bench, a lab benchmark."
3319,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"The contribution is the refinement step: a VLM critic's feedback drives sequential corrections of the generated image; measured on ConceptMix, T2I-CompBench and Visual Jenga, a lab benchmark study."
3324,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"IdealGPT iteratively decomposes the query into sub-questions that fix the next step of the divide-and-conquer loop; zero-shot benchmark results on VCR and SNLI-VE, prototype only."
3331,critique_and_revision,process,validation_research,controlled_experiment,fully_autonomous,preprint,"The studied object is whether iterative LLM refinement helps: 40 rounds of 'improvement' degrade security. A controlled lab experiment over 400 generated samples and four prompting strategies, not field data."
3348,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,The novelty is how the judgement is produced: ILP-learned relation rules act as an online step-level verifier that diagnoses violations before repair; validated on the CLUTRR benchmark across five models.
3407,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,conference,"Adaptive-Consistency keeps self-consistency sampling intact and only changes how many samples are drawn, via a lightweight stopping criterion; validated on 17 existing reasoning and coding datasets with three LLMs."
3467,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"CRAFT turns the prompt into explicit dependency-structured constraints that a VLM verifies, and only violated constraints release an update; runner-up critique_and_revision. Lab benchmark gains across model families."
3504,planning_and_control_flow,model,philosophical_paper,illustrative_example,not_specified,preprint,"Contributes a probabilistic-programming formalism for composing repeated model calls with control flow and dynamic structure, a new way of looking at the field, demonstrated by re-expressing scratchpads, verifiers and STaR."
3517,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,PiVe's contribution is the trained verifier module that judges LLM graph output and issues fine-grained corrective instructions; validated on three existing graph datasets in the lab.
3581,critique_and_revision,model,solution_proposal,illustrative_example,fully_autonomous,journal,AVA's loop has the agent perceive its own rendered visualization and iterate on the result toward the user's stated goal; the paper offers a design framework with usage scenarios and proof-of-concept agents only.
3628,verification_and_gating,model,validation_research,benchmark,fully_autonomous,preprint,"GenPRM is a process reward model that reasons and runs code verification to judge each reasoning step, i.e. the acceptance criterion itself; validated on ProcessBench and math benchmarks in the lab."
3637,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"T1 is a two-stage verification scheme: external tools filter candidates before a small LM gives the final verdict, so the contribution is how the check is produced; validated on the MATH benchmark."
3640,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"CGR probes answer certainty to halt reasoning early against a thinking budget, a stopping and allocation rule; validated on AIME2025 over 64 seeds in the lab."
3673,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,Negative early exit and adaptive boosting reallocate compute among concurrent MCTS searches for p99 latency while accuracy holds; runner-up deliberative_search for the pruning. Lab measurements on a vLLM integration.
3686,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"DCR's primitive is divergent generation of candidate solutions followed by convergent reconciliation that selects among them, changing the exploration shape; validated on AIME 2024/2025 in the lab."
3742,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"The contribution is a compute-optimal policy allocating test-time compute per prompt by difficulty, leaving the search methods themselves intact; a lab study of scaling behaviour on math prompts against best-of-N."
3744,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"TAB is a GRPO-trained policy allocating token budgets across turns under a global constraint, i.e. how much the loop gets; validated on agentic benchmarks against static and off-the-shelf budget baselines."
3749,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,Studies verification-cost-limited reasoning and allocates verifier calls adaptively across states rather than changing candidate generation; validated on MATH with 44% fewer verifier calls than best-of-N and beam search.
3755,verification_and_gating,model,validation_research,controlled_experiment,fully_autonomous,preprint,"The claim is that verifier-based signal is what makes test-time scaling work, versus verifier-free trace cloning; a proof plus a compute-matched lab comparison on didactic and math problems with 3/8/32B models."
