paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
590,memory_and_context_management,model,validation_research,ablation,human_on_the_loop,preprint,"Names the Reflexion episodic-memory loop carrying reflections of failed interventions across anomalies as its central contribution, credited by an ablation; a proposed architecture tried only in ns-3 simulation, never on a live network."
595,planning_and_control_flow,model,validation_research,case_study,fully_autonomous,conference,"Contribution is an explicit agent state with update rules and typed interfaces that fix the next tool step; a prototype assistant exercised on one lab ocean-circulation case study, not in operational science practice."
597,memory_and_context_management,model,opinion_paper,none,not_specified,preprint,"Argues vector-DB retrieval is the wrong working memory for agents, citing no importance flagging, no retrieval-reasoning feedback and no time decay; a stated position with no method, system or evaluation offered."
602,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,journal,"Headline artefacts are a measurement instrument, a curated single-vulnerability privesc benchmark plus the hackingBuddyGPT harness, used to measure several LLMs on VMs in the lab against human tester baselines."
608,planning_and_control_flow,model,validation_research,controlled_experiment,not_specified,preprint,Contribution is a homeostatic control layer whose Competence/Connection/Necessity drive vectors and executive module select the next action; two agent instances from an identical baseline are run with differing interlocutors and compared.
615,verification_and_gating,model,validation_research,benchmark,fully_autonomous,journal,"Contribution is a deterministic validation layer that gates LLM proposals by P&ID graph traversal before execution; evaluated on Tennessee Eastman benchmark-derived and synthetic scenarios in the lab, not in a running plant."
620,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"Abstract states external verifiers gate both action release and memory updates before execution; a plug-in module measured on eight CWE secure-code-generation scenarios across four LLMs in the lab, no deployed use reported."
637,self_evolution,model,philosophical_paper,none,human_on_the_loop,preprint,"Argues genuine agency requires internalized identity evolution, learned self-regulation and self-directed learning from experience rather than external scaffolding; a conceptual agentic/agentive distinction and architecture, no study."
639,memory_and_context_management,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is typed persistent state carrying experiment history across iterations so history is not re-read, cutting tokens 90%/52%; stateful and stateless variants run on two lab task sets for comparison."
660,verification_and_gating,model,validation_research,benchmark,human_on_the_loop,preprint,"Formalizes guard functions that verify post-conditions and admit or reject each LLM step, with proven failure bounds; validated in the lab on 13 models, three diagnostic probes and 99 SWE-Bench Pro instance-arm pairs."
666,planning_and_control_flow,process,solution_proposal,illustrative_example,fully_autonomous,preprint,"Contribution replaces the MAPE-K loop's stages with an Assess-Weigh-Act-Reflect-Enrich cycle fixing what the adaptation loop does next; argued through a comparison with MAPE-K and one demonstrative use case, no measurement."
690,planning_and_control_flow,tool,validation_research,controlled_experiment,fully_autonomous,journal,"Contribution assembles the pipeline of steps to satisfy an intent, selecting actions via a Bayesian contextual-bandit over a retrieval-augmented LLM; measured against baseline LLMs in a cyber-physical testbed, not in a factory."
691,critique_and_revision,tool,validation_research,controlled_experiment,fully_autonomous,journal,Presents a self-correcting framework whose claim is the iterative plan-act-reflect-revise cycle rewriting failed simulation code; run on twelve constructed tasks against GPT and human-in-the-loop baselines in the lab.
709,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,conference,Contribution is a dynamic memory workspace that consolidates retrieved evidence into a global memory pool across reasoning cycles; measured on four pre-existing 200K-token narrative benchmarks against RAG baselines.
714,loop_evaluation_and_diagnosis,process,philosophical_paper,none,human_on_the_loop,preprint,"Contribution is an instrument for governing evaluation of agent loops, a process model and reference architecture unifying offline and online evaluation, synthesised from a multivocal literature review with no study of its use."
743,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is interleaving reasoning traces with actions so the trace induces, tracks and updates the plan and decides the next step; a new prompting technique measured in the lab on HotpotQA, Fever, ALFWorld and WebShop."
752,planning_and_control_flow,method,validation_research,controlled_experiment,fully_autonomous,preprint,"An empirical audit of one named mechanism, ReAct's interleaving of reasoning and action, finding the interleaving and trace content barely matter; systematic prompt variations are introduced as a lab sensitivity analysis."
797,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is an in-context algorithm that re-attempts a failed task by self-correcting the previous attempt; lab runs on six text-game tasks compare first attempt against the self-corrected retry, two of six then solved."
825,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is an outer loop where a reflector critiques and an optimizer rewrites the agent's action principles from its own trajectories via text gradients; measured in the lab across four agent environments.
826,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is the missing pre-execution check: agents seldom re-evaluate an action once it enters the thought, and the mitigation is a reflection step reassessing action safety; benign injected requests varied in lab attacks."
851,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Models solving as a calibrated stopped process bounding false-admission risk, instantiated as dual-granularity verification and test augmentation deciding when a program is admitted; measured on LiveCodeBench Pro and ICPC-Eval."
859,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is team composition itself, a graph of pairwise-conversation coherence plus community detection choosing which models collaborate; teams measured on downstream benchmarks against random and curated baselines."
865,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is continual strategy evolution without fine-tuning, external latent vectors updated by reflection and reward across episodes; lab multi-round interaction runs track latent convergence under those updates."
872,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,Contribution P-ReAct restructures the reason-act interleaving so tool_call tokens decode first and thinking continues during the tool wait; a post-trained dLLM agent measured in the lab against mainstream search agents.
879,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is uncertainty quantification judging whether the agent may answer unaided or must query the world, cutting tool calls; measured in the lab on HotpotQA, StrategyQA and MMLU across LLM sizes."
