paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
8569,verification_and_gating,process,validation_research,human_study,human_in_the_loop,preprint,"Abstract's claim is independent verification modules plus human reviewers judging representational/logical/legal correctness as the acceptance check; the workflow is run in the lab to build a dataset, not deployed."
8613,verification_and_gating,model,solution_proposal,none,human_in_the_loop,journal,"Headline mechanism is mandatory confidence-gated HITL gating at every care-pathway-modifying decision plus a Clinical Factuality Verification Layer; results are formal specifications of the architecture with no measured evaluation."
8624,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is LOOPSBENCH, a 112-task long-horizon benchmark and flow-aware runtime for measuring loop behaviour; frontier agents are scored on it in the lab (25.00% resolved), not in production."
8625,loop_evaluation_and_diagnosis,model,evaluation_research,case_study,human_on_the_loop,preprint,"Contribution is a descriptive account of loop building blocks plus an instrument-style traceability analysis, applied to real open-source projects: 217 of 256 matched repositories confirmed running agent loops in practice."
8628,loop_evaluation_and_diagnosis,model,philosophical_paper,case_study,human_on_the_loop,preprint,"Contribution is a definition, anatomy and taxonomy of loop specifications (trigger, goal, verification ladder, terminal states) that generalises past any one mechanism, evidenced by hand-coding a corpus of fifty real loops."
8701,loop_evaluation_and_diagnosis,model,evaluation_research,case_study,human_on_the_loop,preprint,"Same study as its main paper: characterises loop building blocks and traceability as an instrument, and verifies 70 of 81 candidate real repositories actually execute scheduled or event-triggered agent loops."
8712,planning_and_control_flow,process,experience_paper,case_study,human_on_the_loop,preprint,"Central technique keeps workflow policy, selection and state in code so the harness fixes the step order (start-plan-[bearings-smoke-pick-implement-verify-handoff]*); the paper reports what three real runs cost and what was learned."
8716,critique_and_revision,model,validation_research,ablation,human_in_the_loop,journal,"Contribution models three feedback cycles as proportional contractions toward a target and asks how the revision loops must be arranged; evidence is a from-scratch reproducible implementation, not a deployed system."
8724,deliberative_search,method,validation_research,controlled_experiment,fully_autonomous,journal,"LEAP's credited mechanism is how configurations are searched and selected -- multi-fidelity screening and a cross-validated critic against best-of-N optimism -- validated in a from-scratch experiment against random search at equal compute."
8726,verification_and_gating,model,opinion_paper,case_study,human_on_the_loop,journal,"Essay argues the controls that made the migration safe are verification ones (independent verifier, adversarial blind review, canary) and raises the verifier-validation problem; it is a position piece with no research method."
8729,loop_evaluation_and_diagnosis,model,philosophical_paper,illustrative_example,not_specified,preprint,"Contribution is a five-layer taxonomy separating prompt/context/harness/agent/loop engineering for diagnosing which layer a failing system lacks; authors state it is a taxonomy and case-study contribution, not a controlled experiment."
8737,loop_evaluation_and_diagnosis,model,philosophical_paper,illustrative_example,not_specified,preprint,"Title-only record: headline artefacts are the LEAF architecture and a pattern taxonomy with use cases, challenges and future directions, i.e. a structuring of loop engineering rather than one loop mechanism."
8739,multi_agent_coordination,process,experience_paper,case_study,human_on_the_loop,journal,"Contribution is the arrangement itself -- chief-of-staff, specialised SME roles, shared evidence workspace and an independent QA gate under bounded autonomy -- reported as a practitioner whitepaper on the MiniCISO implementation."
8746,memory_and_context_management,method,experience_paper,case_study,not_specified,preprint,"Semantic Blocks decouple reasoning from conclusions so state carried between stages cannot contaminate the next -- a context-isolation mechanism -- reported with implementation details and lessons from the Yingloong system."
8844,critique_and_revision,method,validation_research,benchmark,fully_autonomous,journal,"Object of study is workflows that refine the model's output (Self-Reflection, Multi-Agent Reflection, Ensemble) against hallucination; evaluated in the lab on semantic maps from the ScanNet and SceneNN datasets."
8845,planning_and_control_flow,model,validation_research,controlled_experiment,fully_autonomous,journal,"Framework's claim is goal analysis and decomposition into executable subtasks driving execution order through a planning agent and validation layer; evaluated by comparing against single-agent and flat multi-agent baselines."
8847,critique_and_revision,method,validation_research,benchmark,not_specified,workshop,"Title-only record: the named method is a self-contrastive loop of thought, i.e. a contrastive critique fed back to rewrite the SQL attempt; a text-to-SQL method paper of this form is a lab technique scored on datasets."
8885,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,journal,"Research question is whether a nine-role multi-agent arrangement manages the design task better than a two-agent generator-reflector collapse, tested in 60 lab runs (2 LLMs x 2 configurations x 3 temperatures x 5 seeds)."
8898,loop_evaluation_and_diagnosis,model,philosophical_paper,none,not_specified,preprint,"Title-only record: offers a geometric theory of agentic-loop trajectories, i.e. an analytical lens on loop behaviour that generalises past any single mechanism, with no evaluation evident in the record."
8916,verification_and_gating,method,solution_proposal,none,fully_autonomous,conference,"Title-only record: the mechanism is trust-aware runtime verification, a check on whether an autonomous agent's execution may proceed; no abstract evidence of validation, so it is read as a proposed solution."
8931,planning_and_control_flow,model,solution_proposal,none,not_specified,journal,"Stated novelty is moving action selection out of the prompt and latent state into an explicit structure of states, moral schemas and a transition graph that fixes the next step; the paper offers the formal model with no study."
8932,budget_and_termination_control,tool,validation_research,controlled_experiment,fully_autonomous,journal,"Finding is that orchestration is a cost-bearing design choice -- single-agent cuts latency and tokens without reliable quality gain -- i.e. whether the multi-agent loop is warranted; tested on 100 synthetic scenarios in a lab benchmark."
8944,verification_and_gating,model,solution_proposal,none,fully_autonomous,conference,"Title-only record: a circuit-breaker architecture that gates an autonomous agent's actions before they take effect, proposed as an alternative to content filtering with no evaluation evident in the record."
8971,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"Twelve pipeline setups vary which model occupies the Writer and Reviewer roles, and the headline result is that role assignment (Writer up to 88.6pp, Reviewer 17.7pp) dominates; measured on a 96-problem LiveCodeBench AtCoder subset."
9050,critique_and_revision,method,validation_research,benchmark,not_specified,conference,"Title-only record: the contribution is a self-reflection loop that rewrites answers to improve logical reasoning, and an enhancement claim of this form is a lab technique measured on reasoning datasets."
