paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
7462,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Outer loop that iteratively rewrites the agent's own harness spec from pairwise feedback over its revision history; lab-only runs on 30 self-built synthetic ML tasks, no deployment."
7469,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a co-evolving world model that keeps autonomous self-improvement training cycles from stagnating; validated in lab on Mind2Web-Live, WebVoyager and GAIA-web."
7474,self_evolution,method,validation_research,benchmark,human_in_the_loop,preprint,"Failure-driven self-improvement loop that diagnoses failed trajectories and emits code patches upgrading the agent between episodes; lab validation on OSWorld with OpenCUA-72B."
7480,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is the confidence/calibration signal inside self-improving models, comparing three ECE-calibration placements; lab study over three self-improvement paradigms, runner-up critique_and_revision."
7515,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Sweet&Sour changes what reflection feeds back (positive as well as negative experience) to fix existing reflection methods; lab runs on text-game agents, runner-up memory_and_context_management."
7516,verification_and_gating,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Key innovation is a perceptual validator judging rendered frames to catch the oracle gap conventional tests miss; prototype compared against single-shot baselines across seven physics domains in the lab."
7535,self_evolution,tool,validation_research,benchmark,fully_autonomous,preprint,"Self-referential framework in which the agent recursively rewrites its own logic and behaviour between runs; lab experiments on maths reasoning and agent tasks, not a deployed setting."
7536,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Agent iteratively progresses by identifying and learning from its own mistakes via self-reflection and structured thought management; lab validation on MiniWoB++ against prior SoTA."
7539,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"PreFlect's object is the revision step, criticising and refining plans before execution plus re-planning on deviation; benchmark experiments only, runner-up planning_and_control_flow."
7581,self_evolution,model,philosophical_paper,case_study,fully_autonomous,preprint,"Frames agents that read and edit their own identity/memory/config files each activation as 'autoreflection', a new conceptual lens with behavioural criteria, tested through three Moltbook case studies."
7595,self_evolution,model,solution_proposal,none,not_specified,preprint,"Formal Reflect mechanism detects prediction-observation mismatch and revises the agent's own internal causal model; framework proposed and argued as theoretical groundwork with no experiments."
7608,self_evolution,tool,solution_proposal,illustrative_example,human_on_the_loop,preprint,"Treats self-improvement as compiling the agent into a growing skill graph, with verifier-backed promotion; architecture plus runnable reference implementation demo, no full validation."
7615,self_evolution,model,philosophical_paper,none,fully_autonomous,preprint,"Formalises recursive self-improvement as a Generator-Verifier-Updater flow and unifies self-play, self-correction and bootstrapping literature under it; pure formalism, no empirical study."
7616,self_evolution,model,philosophical_paper,none,fully_autonomous,preprint,"Argues sustainable recursive self-improvement needs an introspection threshold, grounded in Kleene's recursion theorem; a conceptual argument and literature review, not a study."
7619,self_evolution,metric,validation_research,benchmark,fully_autonomous,preprint,"Contribution is CMP, guiding search over a tree of agent self-modifications for self-improving coding agents; lab benchmarking on SWE-bench Verified and Polyglot, runner-up deliberative_search."
7628,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Headline artefact is an evaluation protocol for long generation plus judge blind-spot findings that generalise past the loop tested; 24 lab conditions with pre-registered replication."
7649,self_evolution,tool,validation_research,benchmark,fully_autonomous,conference,"Self-evolving framework in which the agent recursively modifies its own logic between runs; lab experiments across multiple domains against manually crafted agents, no practice setting."
7651,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Iterative self-training on the agent's own MCTS-repaired trajectories changes the model itself between rounds; lab validation across three interactive environments (+5.59%)."
7672,self_evolution,method,validation_research,benchmark,fully_autonomous,conference,"MARS synthesises principle- and procedure-level reflections into rewritten instructions, evolving the agent across cycles; lab experiments on six benchmarks against self-evolving baselines."
7680,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the arrangement itself: multiple model instances debating over rounds to converge on an answer; lab experiments across reasoning and factuality tasks."
7689,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Persistent object is a curated knowledge base written and distilled across tasks while agents stay disposable; lab case studies on reasoning, coding and terminal benchmarks, runner-up self_evolution."
7702,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,conference,"Headline artefact is OPT-BENCH, a benchmark instrument for measuring iterative self-optimisation over 30 tasks; lab evaluation of 19 LLMs, no real deployment."
7703,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is the OPT-BENCH measurement instrument for iterative self-optimisation plus the OPT-Agent reference loop; lab evaluation across 19 LLMs from 7 families."
7714,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"ICPO's object is multi-round in-context revision of the answer using self-assessed rewards; theory plus lab experiments on standard maths reasoning tasks, runner-up deliberative_search."
7724,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Evolver and meta-evolver rewrite the agent's harness and the evolution strategy between iterations under a frozen backbone; lab validation on BALROG suites with held-out splits."
