paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
7725,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Object is the revision step: a three-step self-correction pipeline feeding the model its own hints, asking whether refining helps; lab-only runs on arithmetic and logic benchmarks, not deployed."
7726,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an outer co-evolutionary loop: on-policy trajectories self-distil an updated world model between episodes; evidence is lab benchmark gains on embodied, web and tool-use suites."
7738,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Text-gradient recursive self-improvement searches and rewrites the agent's own memory architecture across iterations (outer loop over the agent itself); validated in the lab on GAIA and WebWalkerQA."
7748,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is recursive skill rewriting from execution traces, with a meta-skill evolving on a slower loop; prototype validated on OfficeQA, SealQA and ALFWorld, no practical deployment."
7753,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Outer population-based loop evolves prompt-injected memory from failed trajectories and broadcasts the best instance between stages; evaluated only in the CybORG CAGE-2 lab environment."
7761,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Meta-level discovery loop evolves the reasoning module itself via tree search over code with reflection-informed mutations; lab experiments across reasoning benchmarks, runner-up deliberative_search."
7766,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Claim is the shape of the exploration: planner, simulator and critic embedded in an MCTS expansion-and-reward loop; prototype benchmarked on DailyLifeAPIs and HuggingFace datasets in the lab."
7769,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"Claim is the shape of the exploration: planner, simulator and critic embedded in an MCTS expansion-and-reward loop; prototype benchmarked on DailyLifeAPIs and HuggingFace datasets in the lab."
7795,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Meta Agent Search is an outer loop where a meta agent programs ever-better agents from a growing archive of its own discoveries; extensive lab experiments in coding, science and math."
7822,planning_and_control_flow,model,philosophical_paper,none,not_specified,journal,"Contribution is a conceptual architecture whose need regulators feed a softmax control system for action selection; no study is run, only falsifiable predictions proposed for future testbeds."
7834,self_evolution,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: claim is that the VLM self-improves its reasoning from its own reflections, an outer loop over the model itself; NAACL long paper, lab evaluation assumed from record."
7863,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution replaces tree-search enumeration with directed diagnostic updates, changing how candidates are generated and selected; validated in the lab on MLE-Bench under a 12-hour budget."
7914,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"MCTS with an energy function as path verifier searches and ranks the output space, i.e. the exploration shape is the claim; lab experiments on GSM8k and AQUA-RAT with no deployment."
7929,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Self-Critic MCTS iteratively expands and weights candidate reasoning paths over the KG, the branching-and-selection mechanism being the contribution; lab results on GrailQA and WebQSP."
7933,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Learned policy decides expand, branch, backtrack or terminate, i.e. it reshapes the tree exploration itself; prototype validated on math, logic and planning benchmarks in the lab."
7940,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Headline mechanism is execution-feedback MCTS with backpropagated reflection scores, UCB1 selection and versioned rollback; lab benchmark results on TabFact, WikiTQ and CRT."
7941,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Attack expands each turn breadth-first, branching multiple adversarial continuations and re-injecting partial compliance, so the search shape is the contribution; JailbreakBench lab evaluation."
7943,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Novelty is how the judgement is produced: autoformalization to a solver that checks logical validity of the reasoning; lab study varying models and LELMA on game-theoretic testbeds."
7954,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is making the model itself generate tree-structured search trajectories, i.e. candidate expansion and selection without an external search program; lab tests on four puzzle games."
7955,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"MCTS identifies optimal reasoning paths for multi-hop QA, the branching-and-selection procedure being the claim; lab benchmarks HotpotQA, 2WikiMultihopQA and MuSiQue."
7961,deliberative_search,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is UCB1 tree search over actions guided by a layered world model, i.e. how candidates are expanded and selected; evidence is authors' own synthetic tasks and stress scenarios versus LATS and ReAct."
7965,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution decouples proposal from decision so a flow-matching verifier navigates the candidate search space, changing exploration shape; lab evaluation on MATH-500 BoN@16."
7985,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the check itself: a unified agent doing meta-verification and adaptive tool-based verification of responses; lab benchmarking against deductive and backward verifier baselines."
7995,deliberative_search,method,validation_research,ablation,fully_autonomous,preprint,"Contribution reshapes MCTS exploration via a contrastive reward model plus revised UCT selection and backpropagation; the headline evidence is extensive component ablations attributing each part's effect."
7999,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution fixes over- and under-exploration by merging semantically equivalent states and reducing verifier variance, i.e. the exploration shape; lab benchmarks GSM8K, GSM-Plus and MATH."
