paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
1573,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Second GRPO layer is trained to fix errors in the first layer's answer, a self-correction loop; novel algorithm tested only on math reasoning benchmarks in the lab."
1574,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is moral self-correction, revising an output given natural-language feedback; hypothesis about model scale tested by varying scale, alignment and prompting in the lab."
1579,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Studies multi-round intrinsic self-correction and how many rounds it takes to converge; lab experiments plus mechanistic analysis of the convergence, no field setting."
1581,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is Self-Correction Bench, a controlled instrument isolating activation failure from knowledge deficiency; 14 open models measured on it in the lab."
1594,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,Novelty is how the judgement is produced: a 'Step CoT Check' format and checking dataset that fine-tunes step-level error detection; validated on multiple benchmarks in the lab.
1599,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is intrinsic self-correction (ISC) that rewrites the initial output, trained via Partial Answer Masking; a new technique tested on two lab reasoning tasks."
1602,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,Contribution is feedback design for debiasing: multi-aspect critique and scoring fed back for revision; instruction/response/feedback components varied against baselines in the lab.
1606,critique_and_revision,model,validation_research,benchmark,fully_autonomous,preprint,Formalises self-correction as closed-loop control with a type-directed correction controller producing targeted repair instructions; validated on its own 440-task bench in the lab.
1607,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Audits whether moral self-correction works and how external feedback is incorporated during revision; behavioural and hidden-state analyses run in the lab, no deployment."
1610,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Compares iterative self-correction dynamics and failure modes across generation vs multiple-choice output spaces; conditions varied over tasks, scales and families in the lab."
1615,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,Novelty is the confidence judgement gating correction: an If-or-Else prompt makes the model assess its own confidence before revising; lab experiments on reasoning datasets.
1618,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"STaSC is an outer loop of iterative fine-tuning on the model's own generated data; the algorithm and its design choices are tested on a lab QA task, never in practice."
1636,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is the feedback content that triggers revision: emotional feedback injected after a verifier flags a response; training-free method tested across four benchmark suites.
1654,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"CoCoS trains multi-turn code correction with a turn-accumulated reward, i.e. the revision step is the object; validated on MBPP and HumanEval in the lab."
1673,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"SFS-DPO's claim is improved self-correction frequency and effectiveness after step-level training; in-domain and out-of-domain benchmark runs only, no real deployment."
1687,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Evolutionary prompt optimisation rewrites the agent's own prompt across generations, an outer self-improvement loop; evaluated on MathVista, M3CoT and GeoBench-VLM in the lab."
1696,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Tests whether supervised synthetic error injection can elicit the correct-your-own-mistake step, and reports it fails; lab comparison of synthetic vs on-policy error distributions."
1723,planning_and_control_flow,model,philosophical_paper,none,not_specified,preprint,"Adds a monitoring stage that decides when and how reasoning should begin, fixing the Monitor-Generate-Verify order; explicitly presents no empirical validation, only a framework and vocabulary."
1755,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,Novelty is the check itself: Reductio ad Absurdum logic verifies each reasoning step before it stands; a new prompting technique evaluated on lab task suites across five domains.
1762,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,human_in_the_loop,conference,"Contribution is a diagnostic protocol, debating the model to test whether it defends a correct answer, rather than a loop mechanism; run over existing reasoning benchmarks in the lab."
1792,verification_and_gating,model,validation_research,controlled_experiment,fully_autonomous,preprint,Empirical audit of self-verification as the check: self-critique collapses while a sound external verifier gains; GPT-4 studied in three lab domains with conditions varied.
1793,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,Cyclic questioning-reflection-calibration framework whose object is rewriting the reasoning chain on internal feedback; gains reported on open reasoning datasets in the lab.
1805,multi_agent_coordination,tool,validation_research,controlled_experiment,fully_autonomous,journal,"Contribution is the hierarchical arrangement of agents itself, compared against single-agent and stochastic baselines; demonstrated on two simulation campaigns, not in production use."
1821,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"Detected errors are fed back as retrieved grammar-rule hints so the model rewrites its parse, making the correction the object; new method tested on three parsing datasets in the lab."
1835,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,conference,"The artefact is LR2Bench, 850 constraint-satisfaction samples built to measure backtracking and self-refinement; conventional LLMs and LRMs scored on it in the lab."
