paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
1836,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a corrector that iteratively rewrites a base generator's output from scalar or NL feedback; evidence is lab results on three generation tasks, no deployment."
1837,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Novelty is the check: inverse actions are generated and verified to restore the original state, validating plan coherence; evidence is success rates on benchmark datasets in the lab."
1840,critique_and_revision,metric,validation_research,benchmark,fully_autonomous,preprint,"Object is the self-correction step itself, decomposed into confidence and critique with two probabilistic metrics; evidence is extensive lab experiments over models and prompts."
1847,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is the judgement: a 'Step CoT Check' format and checking dataset that fine-tune step-level error detection; evidence is lab benchmark gains in checking and locating errors.
1849,critique_and_revision,model,validation_research,benchmark,fully_autonomous,conference,"Title-only record: the object is intrinsic self-correction, i.e. what the revision does to answers, studied empirically in the lab rather than deployed. Coded from title; abstract is a citation stub."
1854,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution decides the next step: text-based thinking guides when and how to search, interleaving reasoning and retrieval actions; evidence is lab benchmark results across multi-hop datasets."
1861,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution reshapes exploration by unifying parallel sampling with sequential verification and correction and selecting among candidates; evidence is lab benchmarks in planning, math and coding."
1865,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"The theorem prover supplies formal guarantees on explanation validity and generates the feedback, so the judgement is the novelty; evidence is lab evaluation on NLI explanation datasets."
1868,critique_and_revision,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is how refinement of prior responses arises when self-examinations act as rewards; a theoretical construction validated on synthetic data in the lab, not in practice."
1870,critique_and_revision,model,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a two-turn self-correction stage that refines the model's own reasoning output, trained by SFT; evidence is lab gains on multimodal reasoning benchmarks."
1882,verification_and_gating,metric,validation_research,benchmark,fully_autonomous,preprint,"Foregrounded contribution is fact-level confidence calibration, a judgement signal on each atomic fact, with ConFix derived from it; evidence is lab experiments on four datasets, six models."
1883,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,The framework's claim is automatic functional self-validation of generated testbenches (88.85% success) that gates and informs correction; evidence is lab pass ratios against prior frameworks.
1885,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,Empirical audit of the check: LLMs fail at mistake finding while correction is robust once location is given; evidence is lab benchmarking of mistake-finding over five reasoning tasks.
1891,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Semantic Self-Verification produces solver-checked formalizations with near-perfect verification precision, i.e. the mechanism judges; evidence is lab accuracy on open reasoning benchmarks."
1892,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"Contribution is the arrangement itself: single-agent, turn-based debate, and small-to-large two-stage debate frameworks compared; evidence is lab experiments on COCO, not a deployed setting."
1894,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Entropy signals decide whether to deepen, expand or stop, i.e. how much exploration is spent; evidence is lab results on four benchmark datasets. Runner-up was deliberative_search."
1895,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is adaptive planning over a KG: sub-objective decomposition, path exploration and reflection that triggers replanning; evidence is lab experiments on three datasets."
1902,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the reflection step, keeping revision from stalling via multi-perspective Navigator-Reasoner clues; evidence is lab experiments plus ablations on five reasoning datasets."
1912,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,Headline artefact is the instrument: an interactive evaluation framework and 1114-function benchmark with a differential-testing oracle; evidence is a lab evaluation of 18 models.
1914,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Claim is improving the model's test-time self-correction turn via multi-turn RL on its own correction traces; evidence is lab gains on MATH and HumanEval, no practice setting."
1918,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is the criticism-then-refinement cycle over intermediate table reasoning steps with a self-evolving critique template tree; evidence is lab benchmark accuracy and error-correction rates.
1923,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"Citation-only record: title states a decompose-critique-refine self-correction pipeline, so the object is the revision after critique; coded as lab work on constraint-following, from title alone."
1934,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"The agent's self-verification module checks claims against biological databases to block hallucinations; evidence is a lab benchmark of 1,106 gene sets against GPT-4."
1948,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"Empirical audit of self-verification: can LLMs identify fallacious reasoning steps, tested on the new FALLACIES dataset; evidence is exhaustive lab experiments over a series of models."
1986,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,Contribution explicitly optimizes self-verification with self-constructed tests and tool feedback as the driver of the loop; evidence is lab benchmark results including LiveCodeBench Pass@k.
