paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
9650,verification_and_gating,method,validation_research,benchmark,not_specified,conference,"Title-only record: contribution is pre-execution verification of a robot task plan, i.e. a check gating whether the plan may run; a novel technique demonstrated in the lab, not in deployed practice."
9662,memory_and_context_management,tool,validation_research,benchmark,not_specified,journal,Title-only record: a 'Thought Management System' governs what state a long-horizon agent carries across steps; presented as a proposed system evaluated by the authors rather than in a live deployment.
9840,multi_agent_coordination,method,validation_research,benchmark,not_specified,conference,"Title-only record: initializing a multi-agent system by diversity and expertise orchestration is about the arrangement of agents itself; a technique evaluated in the lab, not in production use."
9845,multi_agent_coordination,method,validation_research,benchmark,not_specified,conference,Title-only record: 'concurrent orchestration method' for a collaborative multi-agent system governs how agents are arranged and interact; proposed as a novel method with lab evaluation.
9850,loop_evaluation_and_diagnosis,tool,evaluation_research,case_study,human_on_the_loop,journal,"AgentForge-Eval is an evaluation architecture plus a formal taxonomy of multi-agent failure modes, i.e. an instrument for measuring loop behaviour; evidence is its deployment in a production multi-agent pipeline."
9855,multi_agent_coordination,method,validation_research,benchmark,not_specified,workshop,"Title-only record: adaptive orchestration of dynamic agent pools is a contribution about the arrangement of agents (memory is the means); a proposed technique with lab evaluation, no deployment reported."
9904,multi_agent_coordination,model,solution_proposal,illustrative_example,not_specified,journal,Title-only magazine article: 'dual-loop edge-terminal collaboration' arranges which agents run where and how they interact; framework-and-method framing argues a solution without full validation.
9931,planning_and_control_flow,method,validation_research,benchmark,not_specified,conference,"Title-only record: stepwise rollback is explicit control-flow machinery deciding whether the loop returns to an earlier step; a novel framework evaluated in the lab, not in practice."
9964,critique_and_revision,tool,validation_research,ablation,fully_autonomous,journal,"The 'ground AI' mechanism regenerates deviating outputs via multiple agents after a trivial length check, so the novelty is the correction, not the judgement; evidence is a lab error-rate drop from 23.89% to 1.48%."
9969,multi_agent_coordination,model,solution_proposal,illustrative_example,human_in_the_loop,journal,"Contribution is architectural principles for multi-agent orchestration: role contracts, decoupled orchestrator, handoffs; argued conceptually and supported only by an industry-grounded illustration, not a study."
10029,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"STAR is a three-stage router that assigns queries to domain agents, i.e. routing work across a multi-agent system; evaluated on a self-built set of 3136 steel queries in the lab, downstream use left to future work."
10074,loop_evaluation_and_diagnosis,metric,evaluation_research,controlled_experiment,fully_autonomous,journal,"Headline artefacts are a taxonomy of spawning behaviour and ERAB Bench, a ten-metric measurement protocol; the phenomenon was observed in a real company's coding-agent setup and then tested in a 16-run pilot."
10096,planning_and_control_flow,method,validation_research,human_study,human_in_the_loop,conference,"HLA's contribution is the hierarchical decomposition from intention reasoning to macro actions to atomic actions, i.e. what the loop does next; validated in the Overcooked testbed via human studies, not in practice."
10122,verification_and_gating,tool,validation_research,controlled_experiment,fully_autonomous,journal,"The contribution is a pre-delivery constitutional filter with a hard integrity gate that policies must pass before reaching agents, not the agent topology; four lab experiments on a simulated 30-agent network."
10136,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,journal,"Contribution is a black-box counterfactual attribution framework measuring whether inter-agent messages drive next actions, an instrument rather than a mechanism; instantiated in lab simulations across two environments."
10271,critique_and_revision,method,validation_research,benchmark,not_specified,journal,"Title-only record: self-reflection is used to rewrite an answer after feedback, so the object is the revision step; framed as a novel technique tested by the authors, not deployed with real users."
10274,critique_and_revision,method,validation_research,benchmark,not_specified,conference,Title-only record: Self-ReS contributes a self-reflection step that revises the model's own processing of long video; a novel technique evaluated in the lab.
10276,self_evolution,model,philosophical_paper,none,fully_autonomous,journal,"The subject is recursive self-improvement, an outer loop that rewrites the agent itself; the paper is a formal conceptual account (Kleene recursion, Godel-machine equivalence) plus a review, offering no evaluation."
10277,self_evolution,method,validation_research,benchmark,not_specified,conference,Title-only record: iterative self-improvement of the vision-language model across rounds changes the model itself rather than one output; a novel technique evaluated in the lab.
10311,deliberative_search,model,solution_proposal,none,not_specified,journal,"Contribution is treating thinking as MCTS over reasoning trajectories, i.e. branching and selecting among candidate continuations; the paper is a 'rigorous conceptual exploration' of an architecture with no experiments."
10326,deliberative_search,model,solution_proposal,none,not_specified,journal,"Contribution is using LLM heuristics to constrain which trajectories are explored, i.e. the shape of the exploration; the paper argues an architectural framework and roadmap with no reported experiments."
10351,deliberative_search,method,validation_research,benchmark,fully_autonomous,journal,"Contribution is a pheromone-guided tree search that reshapes path expansion and pruning over a search tree; validated in the lab on four existing benchmarks (ChartQA, MathVista, GRAB, ChartX)."
10374,verification_and_gating,model,solution_proposal,none,human_in_the_loop,journal,"Contribution is a pattern of policy gates, safety monitors and evidence logs deciding whether an agent action may proceed; a solution proposed and argued against NIST/ISO/EU AI Act, with no evaluation reported."
10432,planning_and_control_flow,model,validation_research,benchmark,not_specified,journal,"Title-only record: a 'dual cognitive loop' incentivizing rational and irrational reasoning determines the agent's next action in simulation; proposed and tested in simulation, not in a real setting."
10547,critique_and_revision,method,validation_research,case_study,not_specified,conference,"Title-only record: the object is feedback loops that regenerate code after diagnostics in a C-to-Rust translator, an audit of one named revision mechanism; a case study of a research system, not production use."
