paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
5680,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is ClawArena-Team, a 41-scenario benchmark and SMS score isolating subagent-management ability rather than a coordination mechanism; twelve models scored in the lab, no deployment."
5682,verification_and_gating,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"VISO-PC's claim is the independent verifier that accepts only candidates satisfying constraints and yielding a verified rate; evaluated against fixed single-solver baselines on a self-built prototype, not in operation."
5688,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"FAME contributes orchestration machinery that fixes step execution: modular service composition, checkpointing, suspend and callback resume; measured in the lab over 26 MCP tasks and MLE-Bench MLZero workloads."
5755,verification_and_gating,tool,solution_proposal,none,fully_autonomous,conference,"ToolSmith's mechanism is the validation gate: generated NL tests executed in a sandbox plus API state confirmation decide whether a tool stands; the abstract argues the framework with no reported evaluation."
5773,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Object of study is the reviewer-feedback revision step, with 85-100% of hallucinated blogs rewritten after critique; evidence is 4,900 lab runs over primary/reviewer model combinations on a fictional-artist probe."
5829,multi_agent_coordination,model,solution_proposal,illustrative_example,human_in_the_loop,journal,"Proposes a modular architecture of specialised agents with bounded roles and hand-offs, i.e. the arrangement itself; argued as a Viewpoint and demonstrated only through one clinical scenario design."
5836,multi_agent_coordination,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Core component is the OVON NLP interface carrying structured JSON assessments between four levels of specialised agents, so the contribution is inter-agent communication; over 300 induced-hallucination prompts run in the lab."
5838,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"CellPilot's credited mechanism is structured workflow control with observation-guided plan, execute, inspect and revise steps; validated on GTEx, Tabula Sapiens and Mouse Cell Atlas datasets, not in analysis practice."
5843,planning_and_control_flow,tool,validation_research,controlled_experiment,human_on_the_loop,conference,"The agent's contribution is orchestrating sampling, simulation and retraining with dynamic strategy switching that decides the next step, credited with ~6% lower SMAPE against single-strategy runs on simulator prototypes."
5845,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is a three-dimension benchmark suite (workflow, RAG gating, HPC) with EngiAI presented as its reference implementation; four LLM backends scored on EngiBench problems in the lab."
5860,budget_and_termination_control,tool,validation_research,benchmark,fully_autonomous,preprint,"Audio-Mind's stated challenge is deciding when agentic evidence acquisition is warranted, preserving the frontend answer otherwise and bounding external evidence; evidence is MMAR and MSU-Bench accuracy."
5863,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,"Two of three contributions are the measuring instrument, Node F1, SSI and Tool F1 plus an AsyncHow-based dataset, and the conclusions are about which metrics predict agent performance; lab analysis with statistical testing."
5865,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"CoThinker operationalises cognitive load theory as agent specialisation plus structured communication and a collective working memory, i.e. the arrangement; tested on complex tasks against fabricated high-load conditions."
5868,verification_and_gating,tool,validation_research,ablation,fully_autonomous,preprint,"CAAF's central pillar is a Harness of machine-readable domain invariants enforced by a deterministic assertion interface that must pass before output stands; the architectural claim rests on three-tier UAI ablations."
5899,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"ALAS's credited mechanism is disruption handling by history-aware local compensation instead of global replanning over decomposed plans; results reported on job-shop scheduling benchmarks in static and dynamic settings."
5904,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"BRACE decides whether to replan and allocates an explicit token budget and latency SLO per call, leaving the planner intact; validated on Meta Habitat, RoboFactory and AirSim with SLO-violation and token measurements."
5909,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the replanning trigger: interrupt the running skill only when partner actions contradict the inferred one, versus constant replanning; measured on Overcooked benchmarks in simulation."
5913,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"ToolMaze is the artefact, a perturbation benchmark with DAG complexity and a 2x2 fault taxonomy measuring recovery; the paper scores existing models and reports PRR drops rather than proposing a recovery mechanism."
5918,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"APB is a diagnostic benchmark of 4,209 cases isolating planning from execution failure, an instrument rather than a planning mechanism; 12 MLLMs plus ToolSandbox and tau^2-bench runs are all lab evaluations."
5928,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"PDoctor is a diagnostic instrument: it synthesises constraint-derived user inputs as a testing oracle to expose and characterise erroneous plans; evaluated across three agent frameworks and two LLMs in the lab."
5930,planning_and_control_flow,method,validation_research,controlled_experiment,fully_autonomous,preprint,"DRL-derived parameter knowledge is injected in-context to constrain which adjustment the agent takes next in each iteration, i.e. action selection; guided versus unguided planning compared over prostate and liver cases."
5931,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Tensor-Coord formalises the joint plan of N agents as a tensor whose CP rank measures coordination complexity and whose residual localises inter-agent conflicts; tested on 2-, 3- and 4-agent delivery grids."
5934,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"SERP's stated shift is from frozen to evolving models, upgrading the action model at run time from recent experience via in-context learning with auto-differentiation; simulation and real-world benchmark runs."
5940,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"Audits one mechanism, the LLM acting as a step-wise action-selection policy that observes each state and can reset, against direct prompting and Fast Downward on 102 IPC Blocksworld instances."
5942,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Robotouille is a benchmark environment with synchronous and asynchronous datasets built to measure long-horizon asynchronous planning; the paper scores ReAct (gpt4-o) and analyses failure modes in simulation."
