paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
9076,deliberative_search,method,validation_research,benchmark,fully_autonomous,journal,"Title-only record: contribution is KG subgraph exploration over candidate reasoning paths (search shape), self-reflection secondary; lab technique on KGQA datasets, not deployed."
9083,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: ISR-LLM's claim is the iterative self-refinement of a plan after a validator's judgement, not the validator; lab planning-domain evaluation of a prototype."
9089,critique_and_revision,method,validation_research,benchmark,not_specified,conference,"Title-only record: 'Iterative Semantic Refinement' names the revise-on-VLM-feedback step as the contribution; a novel editing technique evaluated in the lab, no practice setting."
9093,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,conference,"Title-only record: an empirical audit of one named mechanism, self-reflection, so coded to that mechanism; measures its effect on problem-solving accuracy in the lab, not in practice."
9096,critique_and_revision,method,validation_research,benchmark,fully_autonomous,journal,"Abstract's loop is 'extraction-verification-feedback-optimization' and the ablation credits the dynamic feedback iterative mechanism (runner-up multi_agent_coordination); DuIE 2.0 lab benchmark."
9117,critique_and_revision,tool,validation_research,benchmark,not_specified,conference,"Title-only record: 'closed-loop feedback framework for iterative optimization' foregrounds the revise-on-feedback step; a prototype system evaluated on record generation, not a studied deployment."
9131,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: 'Iterative Self-Correction' is the contributed step, correction after a judgement; a lab technique measured on person re-identification benchmarks."
9170,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,not_specified,journal,"Headline artefact is an instrument: a multi-criteria methodology with mathematical formulations quantifying reasoning, self-correction and factual consistency; benchmarked across datasets in the lab."
9175,verification_and_gating,method,validation_research,benchmark,fully_autonomous,workshop,"Title-only record: contribution is step-wise self-verification, i.e. how the judgement on each reasoning step is produced; a shared-task system measured on the task's data."
9184,budget_and_termination_control,model,philosophical_paper,none,not_specified,journal,"Reframes reasoning-effort collapse and disengagement under load as bounded-rational compute allocation, a conceptual dual-process lens with testable hypotheses and no study of its own."
9197,critique_and_revision,model,solution_proposal,none,not_specified,journal,"Proposes modular refiner policies doing inference-time self-correction after a verifiable reward signal; argued architecturally with trade-off discussion and governance analysis, no experiment."
9214,verification_and_gating,method,validation_research,benchmark,fully_autonomous,workshop,"Title names a graph-based verification approach: the novelty is how candidate reasoning chains are judged; a lab technique reported on reasoning benchmarks."
9242,deliberative_search,method,validation_research,benchmark,fully_autonomous,journal,"RPR-RAG incrementally expands a subgraph and selects valid reasoning paths, shaping the exploration (runner-up budget control on cost); WebQSP/CWQ/MetaQA lab benchmarks, no deployment."
9263,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Novelty is producing the step-level validity judgement via synthesized process supervision, which then gates recovery (runner-up critique_and_revision); lab results on math and web tasks."
9269,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: contribution is a verifier that judges knowledge-augmented outputs before they stand; a lab technique evaluated on QA datasets."
9426,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: Critic-CoT's claim is chain-of-thought critique feeding refinement of the model's own answers; a lab technique measured on reasoning benchmarks."
9429,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,not_specified,conference,"Title-only record: the artefact is CriticEval, an instrument for measuring critique ability rather than a loop mechanism; models scored on it in the lab."
9460,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,conference,"Wordle is used as a diagnostic testbed with convergence and feedback-sensitivity measures for iterative reasoning; 5,400+ runs against VOI, minimax-regret and random policies in a controlled lab setting."
9484,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: 'iterative informed navigation' over a knowledge graph is exploration and selection among candidate continuations; a lab technique on KGQA benchmarks."
9515,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Title-only record: dual-backward reasoning is the novel way the check is produced, correction follows it (runner-up critique_and_revision); lab evaluation on mathematical reasoning datasets."
9531,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: uncertainty-guided verification is the contributed judgement signal (runner-up budget control via adaptive test-time compute); lab measurement on reasoning benchmarks."
9553,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"Title-only record: adaptive verification, deciding when an answer must pass a check, is the contributed mechanism (runner-up budget control on efficiency); lab benchmark results."
9614,multi_agent_coordination,model,validation_research,controlled_experiment,human_on_the_loop,journal,"Contribution is the arrangement itself: task-ledger protocol, dependency-aware task graph and role-isolated agents with approval gating; evaluated only in synthetic controlled simulation trials, not in practice."
9615,multi_agent_coordination,tool,validation_research,controlled_experiment,fully_autonomous,journal,"DynTaskMAS contributes runtime orchestration across agents, a scheduler dispatching tasks and context propagation between them; efficiency and scalability measured against sequential baselines in the lab."
9616,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,journal,"Ablation credits Retrospective Reflection most, i.e. the revise-on-feedback step, over the outer double-loop adaptation; evaluated on the authors' own Sema-Sim simulation across seven strategies and three models."
