paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
8005,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an outer loop that evolves meta-prompts and a global experience repository across problem instances ('continuous agent evolution'); evidence is lab benchmark runs on AIME25/ARC-AGI-2, not deployment."
8012,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Claim is dynamic orchestration of which distinct LLMs generate what ('model coordination as multi-step decision-making', evolving workflow); validated in the lab on WMT, AlpacaEval and Arena-Hard."
8029,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"TS-LLM contributes AlphaZero-like tree search with a learned value function guiding decoding over candidate continuations; evidence is lab results on reasoning, planning and alignment tasks."
8034,loop_evaluation_and_diagnosis,method,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is a trajectory-level diagnostic decomposing failures into pre-evidence and post-gold-read types from saved tool-call traces; measured over 12,000 trajectories on HotpotQA/2Wiki/MuSiQue in the lab."
8038,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"RAP's contribution is MCTS exploration of a reasoning tree with the LLM as world-model reward, balancing exploration and exploitation; validated on plan-generation, math and logic benchmarks, not in practice."
8051,deliberative_search,method,validation_research,controlled_experiment,fully_autonomous,conference,"An empirical audit of one named mechanism, tree search for LLM planning, asking when it beats re-ranking; discrimination accuracy is deliberately varied across text-to-SQL and math tasks in the lab."
8067,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Agent Q's claim is learning from its own successful and unsuccessful trajectories via off-policy DPO fine-tuning between episodes; evidence is lab runs in the simulated WebShop environment plus author-run booking trials.
8072,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,SeRTS contributes an MCTS-based self-rewarding search over retrieval candidates; evidence is lab performance on the pre-existing BioASQ-QA dataset with GPT-3.5-Turbo and LLaMA2-7b.
8081,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,ReST-MCTS* contributes a self-training outer loop that trains policy and process-reward models on its own searched traces over multiple iterations; validated on lab reasoning benchmarks.
8085,multi_agent_coordination,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is inter-agent communication content and targeting: agents broadcast intentions and a propagation network makes teammate-specific messages; evidence is simulated collaborative-environment comparisons, not deployment."
8099,planning_and_control_flow,model,validation_research,benchmark,fully_autonomous,journal,"MAP's contribution is a modular planning architecture (task decomposition, state prediction/evaluation, coordination) fixing what the loop does next; validated in the lab on graph traversal, Tower of Hanoi, PlanBench and StrategyQA."
8116,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,ToolChain* contributes A* tree search over an action-space decision tree with cost-based pruning of branches; evidence is lab experiments on tool-use and reasoning tasks against SOTA baselines.
8133,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"MC-DML's contribution is memory-guided action evaluation inside Monte Carlo tree search, changing how the search expands and selects; validated in the lab on Jericho text games."
8165,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,neoplanner's claim is state-space search with UCB exploration/exploitation queried against an LLM to escape local optima; evidence is lab reward gains in the ScienceWorld environment.
8170,planning_and_control_flow,model,validation_research,benchmark,fully_autonomous,preprint,"MAP contributes a modular architecture whose specialized modules (decomposition, state prediction, evaluation, orchestration) determine the next planning step; validated on lab tasks including PlanBench and StrategyQA."
8173,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"RAFA's contribution is the plan-act-replan schedule: plan a long-horizon trajectory, take one action, replan from the memory buffer; supported by a regret proof plus lab benchmark validation."
8189,deliberative_search,method,validation_research,human_study,human_in_the_loop,preprint,"GDP-Zero contributes open-loop MCTS over candidate dialogue acts with the LLM as policy prior and value function; evaluated in the lab on PersuasionForGood via human preference ratings, not in a deployed setting."
8191,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"I-MCTS contributes an introspective node-expansion rule plus an LLM value model for pre-rollout node scoring, changing the search shape; validated by lab comparison against open-source AutoML agents."
8193,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,WebPilot's claim is a dual-optimization strategy that adapts MCTS to web environments (global subtask plan focusing a tailored local MCTS); evidence is lab benchmark results on WebArena and MiniWoB++.
8204,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"CoMCTS contributes a collective tree-search procedure (expansion, simulation with error positioning, backpropagation, selection) over reasoning paths; validated on lab multimodal reasoning benchmarks."
8205,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"XOT contributes MCTS with pretrained RL to generate and revise thoughts, i.e. the shape of candidate exploration; evidence is lab task performance on Game of 24, 8-Puzzle and Pocket Cube."
8212,planning_and_control_flow,model,validation_research,controlled_experiment,fully_autonomous,preprint,SiRA's contribution is an architecture that selects the next action by simulating candidate outcomes in an LLM world model with belief states; verified against a matched reactive baseline in a lab browser environment.
8221,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"CoPS contributes a retrieval policy deciding which prior-task experiences carry into the current trial via a pessimism-based distribution-matching rule; validated in the lab on Alfworld, Webshop and HotPotQA."
8230,planning_and_control_flow,method,validation_research,controlled_experiment,fully_autonomous,preprint,PreAct contributes prediction interleaved with reasoning and action to steer the next step; evidence is lab comparison against ReAct with the quantity of historical predictions deliberately varied.
8233,verification_and_gating,model,solution_proposal,none,human_in_the_loop,preprint,"Contribution is oversight as a gate on workflow execution, formalised by intervention conditions, role resolution, interaction semantics and channel; an architecture proposed and argued for with no evaluation reported."
